text,key,ta_a1,ta_a2,ta_a3,ta_a4,ta_a5,ta_a6
   *1. முரசொலி அலுவலகம் அமைந்துள்ள இடம் பஞ்சமி நிலம் இல்லை என்பதை நிரூபிக்க 1985-ஆம் ஆண்டு வாங்கப்பட்ட பட்டாவை ஆதாரமாகக் காட்டியிருக்கிறார் மு.க.ஸ்டாலின்.  இதற்கு காட்ட வேண்டிய...  ,question_1,,,0.0,0.0,0.0,0.0
   சோத்துக்கு பிச்சை எடுக்கிற கடங்கார நாய்களுக்கு பேச்சு புண்டையை  பாரு..   போய் சீனா காரனுக்கு சூத்து குடு போ,question_1,,,,0.0,,
   தத்தபுத்த தத்தபுத்த ன்னு எதாவது புரியுதா,question_1,,,,,0.0,
   பச்சை மொளகா காரம் vicky அம்மா புண்டை நாறும் 😆,question_1,,,,,1.0,
  என்ன உடம்பு டா சாமி- சும்மா வளுவளுனு.. முலை ஒவ்வொன்னும் தேங்காய் போல.. நடிகை மாளவிகாவின் லேட்டஸ்ட் போட்டோஷூட்,question_1,1.0,,,,,
  கதற விட்ட புலம் பெயர் உறவுகள் கதி கலங்கி போன கோத்தா பையன்,question_1,,,1.0,,,
  பத்தினி வேச பு.. வேற எடத்துல காட்டு இங்குட்டு ஒரு உருட்டு அங்குட்டு நல்லவன் வேசம் ஆ மூடிட்டு போடா மயிரு...😖🤦‍♂️,question_1,,0.0,,,,
""" உன்னைய தூக்கி போட்டு நா ஓக்க "" 🏌",question_1,,,1.0,,,
"""ஆடு திருடுனதுக்கு எப்பிடியும் தண்டனை கிடைச்சிரும்னு பயந்து ஆட்டைக்கூட ஒளிச்சி வச்சிட்டேன்""       "" அப்புறம்...""?  "" பக்கத்து தெருவுல கோழி திருடுனவனை ஏன் கைது செய்யலைன்னு சொல்லி ஜட்ஜய்யா என்னை விடுதலை செஞ்சிட்டாரு...!!!""  <handle replaced>",question_1,,0.0,,,,
"""ஊரடங்கால் 100 கோடிக்கு மேல் இழப்பு"" - சதீஷ், பிராய்லர் கோழி விற்பனையாளர்  #CoronaVirus | #TNCorona | #CoronaSecondWave    ",question_1,,0.0,,,,
"""எம்மனசுல இப்ப ஒன்னு தோனுது. அத வெளிப்படையா உங்ககிட்ட இத சொல்றேன். இப்படியே நின்னுட்டு உங்களலாம் பாத்துக்கிட்டே இருக்கனும்னு ஆச எனக்கு. ஒரு கல்லுல ரெண்டு மாங்கா இல்ல பல மாங்காவ அடிச்சிருக்கோம் பல மாங்கா. நான் மாங்கானு சொல்றதுனால வேற ஏதாவத நெனச்சிக்காதீங்க நீங்க.""(பெண்களை நோக்கி)",question_1,0.0,,,,,
"""எவ்ளோ பில்டப்போட வாழ்ந்து வந்தேன், எழுதுகோலில் வாழ்ந்த நான் எழுந்த கோலினால் வீழ்ந்தேனா?""  😄😄பொம்பள_பொருக்கி_வைரமுத்து",question_1,,,,,0.0,
"""கல்லே பரவின் அல்லது நெல் உகுத்துப் பரவும் கடவுளும் இலவே""!  நடுகல் தான் எங்கள் கடவுள். அல்லாது அரிசியைக் கொட்டி  நைவேத்யம் செய்யும் கடவுள், எங்களுக்கில்லை. #மாங்குடிக்கிழார். #புறநானூறு.   அத்தனை வருடங்களுக்கு முன்னரே எவ்வளவு தெளிவான சிந்தனை. எங்க ஊர்ல ராமராஜ்ஜியமா.Get lost, ra.",question_1,,,,,0.0,
"""கூறை ஏறி கோழி பிடிக்க முடியாதவன் வானம் ஏறி வைகுந்தம் போக முடியுமா...?""",question_1,,0.0,,,,
"""கொன்றால் பாவம் திண்றால் போச்சு""  இது வேற மொழியில் இருப்பதாக நான் இதுவரை அறியவில்லை",question_1,,,0.0,,,
"""கோழி🐥 முதல்ல வந்துச்சா முட்டை🥚 முதல்ல வந்துச்சா?""  இந்த கேள்விக்கு பதில் தேட அகராதியை📙 புரட்டினேன், கோழி 🐥 தான் முதல்ல வந்துச்சு 👍",question_1,,0.0,,,,
